compound_id	chemical_description	analysis_platform	refractive_index	molar_mass	superpathway	subpathway	pubchem_id	cas_number	kegg_id	hmdb_id
19130	1,2-dipalmitoyl-GPC (16:0/16:0)	LC/MS Pos Late	2365	734.5694	Lipid	Phosphatidylcholine (PC)	452110	63-89-8		HMDB00564
34404	1,3,7-trimethylurate	LC/MS Neg	1985	209.068	Xenobiotics	Xanthine Metabolism	79437	5415-44-1	C16361	HMDB02123
32391	1,3-dimethylurate	LC/MS Neg	1671.4	195.0524	Xenobiotics	Xanthine Metabolism	70346	944-73-0		HMDB01857
45434	1,3-propanediol	LC/MS Pos Early	832	77.0597	Xenobiotics	Chemical	10442	504-63-2	C02457	
34400	1,7-dimethylurate	LC/MS Neg	1578.6	195.0524	Xenobiotics	Xanthine Metabolism	91611	33868-03-0	C16356	HMDB11103
44621	1-(1-enyl-oleoyl)-GPE (P-18:1)*	LC/MS Pos Late	1566	464.3136	Lipid	Lysoplasmalogen				
52478	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	LC/MS Pos Late	2443	744.5902	Lipid	Plasmalogen				
52474	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	LC/MS Pos Late	1547	480.3449	Lipid	Lysoplasmalogen	10917802			HMDB10407
39270	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	LC/MS Pos Late	1558	438.2979	Lipid	Lysoplasmalogen				
52475	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	LC/MS Pos Late	2511	752.5589	Lipid	Plasmalogen	9547058			HMDB05779
39271	1-(1-enyl-stearoyl)-GPE (P-18:0)*	LC/MS Pos Late	1649	466.3292	Lipid	Lysoplasmalogen				
62559	1-carboxyethylleucine	LC/MS Neg	2663	202.1085	Amino Acid	Leucine, Isoleucine and Valine Metabolism				
62566	1-carboxyethylphenylalanine	LC/MS Neg	2844	236.0928	Amino Acid	Phenylalanine Metabolism				
62564	1-carboxyethyltyrosine	LC/MS Neg	1846	252.0877	Amino Acid	Tyrosine Metabolism				
62562	1-carboxyethylvaline	LC/MS Neg	2008	188.0928	Amino Acid	Leucine, Isoleucine and Valine Metabolism				
48341	1-dihomo-linolenylglycerol (20:3)	LC/MS Neg	6400	305.2486	Lipid	Monoacylglycerol				
35103	1-dihomo-linoleoylglycerol (20:2)	LC/MS Neg	6800	307.2642	Lipid	Monoacylglycerol				
49617	1-lignoceroyl-GPC (24:0)	LC/MS Pos Late	1907	608.465	Lipid	Lysophospholipid		325171-59-3		HMDB10405
54890	1-linolenoyl-2-hexadecatrienoyl-galactosylglycerol (18:3/16:3)	LC/MS Pos Late	1911	764.5307	Lipid	Galactosyl Glycerolipids				
34393	1-linolenoylglycerol (18:3)	LC/MS Neg	6214	277.2173	Lipid	Monoacylglycerol	53480978	124151-74-2		HMDB11569
54896	1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*	LC/MS Pos Late	2073	956.6305	Lipid	Galactosyl Glycerolipids				
54898	1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*	LC/MS Pos Late	2209	794.5777	Lipid	Galactosyl Glycerolipids				
62377	1-linoleoyl-digalactosylglycerol (18:2)*	LC/MS Neg	5820	677.3754	Lipid	Galactosyl Glycerolipids	5317594			
62376	1-linoleoyl-galactosylglycerol (18:2)*	LC/MS Neg	5966	515.3226	Lipid	Galactosyl Glycerolipids	5320254			
34419	1-linoleoyl-GPC (18:2)	LC/MS Pos Late	1465	520.3398	Lipid	Lysophospholipid	11988421		C04100	HMDB10386
36600	1-linoleoyl-GPE (18:2)*	LC/MS Pos Late	1482	478.2928	Lipid	Lysophospholipid	52925130			HMDB11507
54885	1-linoleoyl-GPG (18:2)*	LC/MS Neg	5516	507.2728	Lipid	Lysophospholipid				
27447	1-linoleoylglycerol (18:2)	LC/MS Neg	6477	279.2329	Lipid	Monoacylglycerol	5283469	2277-28-3		
32350	1-methyl-4-imidazoleacetate	LC/MS Pos Early	2064	141.0659	Amino Acid	Histidine Metabolism	75810	2625-49-2	C05828	HMDB02820
62946	1-methyl-5-imidazoleacetate	LC/MS Pos Early	1989	141.0659	Amino Acid	Histidine Metabolism	6451814	4200-48-0		HMDB04988
43449	1-methyl-beta-carboline-3-carboxylic acid	LC/MS Pos Early	3073	227.0815	Xenobiotics	Food Component/Plant	5406157	22329-38-0		
1527	1-methyladenine	LC/MS Pos Early	2133	150.0774	Nucleotide	Purine Metabolism, Adenine containing	78821	5142-22-3	C02216	HMDB11599
48114	1-methylguanidine	LC/MS Pos Early	2149	74.0713	Amino Acid	Guanidino and Acetamido Metabolism	10111	22661-87-6	C02294	HMDB01522
43831	1-methylhistamine	LC/MS Pos Early	3040	126.1026	Amino Acid	Histidine Metabolism	3614	501-75-7	C05127	HMDB00898
30460	1-methylhistidine	LC/MS Pos Early	2755	170.0924	Amino Acid	Histidine Metabolism	92105	332-80-9	C01152	HMDB00001
57771	1-methylhypoxanthine	LC/MS Pos Early	1530	151.0614	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	70765	1125-39-9		HMDB13141
27665	1-methylnicotinamide	LC/MS Pos Early	1940	137.0709	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	457	1005-24-9	C02918	HMDB00699
34395	1-methylurate	LC/MS Pos Early	1461	183.0513	Xenobiotics	Xanthine Metabolism	69726	708-79-2	C16359	HMDB03099
34389	1-methylxanthine	LC/MS Neg	1568.8	165.0418	Xenobiotics	Xanthine Metabolism	80220	6136-37-4	C16358	HMDB10738
35625	1-myristoylglycerol (14:0)	LC/MS Neg	6353.3	227.2016	Lipid	Monoacylglycerol	79050	75685-84-6	C01885	HMDB11561
52453	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	LC/MS Pos Late	2165	784.5851	Lipid	Phosphatidylcholine (PC)				
48258	1-oleoyl-GPC (18:1)	LC/MS Pos Late	1540	522.3554	Lipid	Lysophospholipid	16081932	19420-56-5		HMDB02815
35628	1-oleoyl-GPE (18:1)	LC/MS Pos Late	1554	480.3085	Lipid	Lysophospholipid	9547071	89576-29-4		HMDB11506
45968	1-oleoyl-GPG (18:1)*	LC/MS Neg	5610	509.2885	Lipid	Lysophospholipid				
36602	1-oleoyl-GPI (18:1)	LC/MS Neg	5599	597.3045	Lipid	Lysophospholipid				
19260	1-oleoyl-GPS (18:1)	LC/MS Pos Late	1555	524.2983	Lipid	Lysophospholipid	9547099	326589-90-6		HMDB61694
37481	1-oleoyl-sn-glycero-2',3'-cyclic phosphate	LC/MS Neg	5874	403.2619	Lipid	Lysophospholipid		799268-69-2		
21184	1-oleoylglycerol (18:1)	LC/MS Neg	6650	281.2486	Lipid	Monoacylglycerol	5283468	111-03-5		HMDB11567
52431	1-palmitoleoylglycerol (16:1)*	LC/MS Neg	6094	253.2173	Lipid	Monoacylglycerol				
52462	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	LC/MS Pos Late	2091	782.5694	Lipid	Phosphatidylcholine (PC)	10747814	35418-58-7		HMDB07982
54893	1-palmitoyl-2-linolenoyl-digalactosylglycerol (16:0/18:3)	LC/MS Pos Late	2278	932.6305	Lipid	Galactosyl Glycerolipids				
54887	1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*	LC/MS Pos Late	2498	934.6462	Lipid	Galactosyl Glycerolipids				
54901	1-palmitoyl-2-linoleoyl-galactosylglycerol (16:0/18:2)*	LC/MS Pos Late	2731	772.5933	Lipid	Galactosyl Glycerolipids				
42446	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	LC/MS Pos Late	2160	758.5694	Lipid	Phosphatidylcholine (PC)	5287971	40811-94-7		HMDB07973
42449	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	LC/MS Pos Late	2275	716.5225	Lipid	Phosphatidylethanolamine (PE)	9546747			HMDB05322
52461	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	LC/MS Pos Late	2358	760.5851	Lipid	Phosphatidylcholine (PC)	6436017	26853-31-6;26853-31-6		HMDB07972
19263	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	LC/MS Pos Late	2509	718.5381	Lipid	Phosphatidylethanolamine (PE)	5283496	26662-94-2		HMDB05320
52616	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	LC/MS Pos Late	2653	762.6007	Lipid	Phosphatidylcholine (PC)		59403-51-9		HMDB07970
62372	1-palmitoyl-galactosylglycerol (16:0)*	LC/MS Neg	6161	491.3226	Lipid	Galactosyl Glycerolipids	10413348			
33955	1-palmitoyl-GPC (16:0)	LC/MS Pos Late	1525	496.3398	Lipid	Lysophospholipid	86554	17364-16-8		HMDB10382
35631	1-palmitoyl-GPE (16:0)	LC/MS Pos Late	1544	454.2928	Lipid	Lysophospholipid	9547069	53862-35-4		HMDB11503
45970	1-palmitoyl-GPG (16:0)*	LC/MS Neg	5570	483.2728	Lipid	Lysophospholipid	3300276			
35305	1-palmitoyl-GPI* (16:0)	LC/MS Neg	5564	571.2889	Lipid	Lysophospholipid				HMDB61695
46130	1-palmitoyl-GPS (16:0)*	LC/MS Pos Late	1551	498.2827	Lipid	Lysophospholipid	9547100			
21127	1-palmitoylglycerol (16:0)	LC/MS Neg	6550	255.2329	Lipid	Monoacylglycerol	14900	542-44-9		HMDB31074
47898	1-pentadecanoylglycerol (15:0)	LC/MS Neg	6200	241.2173	Lipid	Monoacylglycerol	190750	104140-07-0		
61868	1-ribosyl-imidazoleacetate*	LC/MS Pos Early	2006	259.0925	Amino Acid	Histidine Metabolism	5117448	29605-99-0	C05131	HMDB02331
52438	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	LC/MS Pos Late	2644	788.6164	Lipid	Phosphatidylcholine (PC)		56421-10-4		HMDB08038
19265	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	LC/MS Pos Late	3000	790.5593	Lipid	Phosphatidylserine (PS)	9547087			HMDB10163
33961	1-stearoyl-GPC (18:0)	LC/MS Pos Late	1606	524.3711	Lipid	Lysophospholipid	497299	19420-57-6		HMDB10384
42398	1-stearoyl-GPE (18:0)	LC/MS Pos Late	1626	482.3241	Lipid	Lysophospholipid	9547068	69747-55-3		HMDB11130
34437	1-stearoyl-GPG (18:0)	LC/MS Pos Late	1750	513.3187	Lipid	Lysophospholipid				
19324	1-stearoyl-GPI (18:0)	LC/MS Neg	5794	599.3202	Lipid	Lysophospholipid		796963-93-4		HMDB61696
45966	1-stearoyl-GPS (18:0)*	LC/MS Neg	5800	524.2994	Lipid	Lysophospholipid	9547101			
33971	10-heptadecenoate (17:1n7)	LC/MS Neg	5555	267.233	Lipid	Long Chain Monounsaturated Fatty Acid	5312435	29743-97-3		HMDB60038
47123	10-hydroxystearate	LC/MS Neg	5370	299.2592	Lipid	Fatty Acid, Monohydroxy	9561835			HMDB37396
38167	11-ketoetiocholanolone sulfate	LC/MS Neg	4420	383.1534	Lipid	Androgenic Steroids				
38395	12,13-DiHOME	LC/MS Neg	5137	313.2384	Lipid	Fatty Acid, Dihydroxy	10236635	263399-35-5	C14829	HMDB04705
44644	12-dehydrocholate	LC/MS Neg	4871	405.2646	Lipid	Secondary Bile Acid Metabolism	94235	2458-08-4;2458-08-4		HMDB00400
63118	12-ketolithocholate	LC/MS Neg	5130	389.2697	Lipid	Secondary Bile Acid Metabolism	3080612	5130-29-0		HMDB00328
37752	13-HODE + 9-HODE	LC/MS Neg	5275	295.2283	Lipid	Fatty Acid, Monohydroxy				
38168	16a-hydroxy DHEA 3-sulfate	LC/MS Neg	4240	383.1534	Lipid	Androgenic Steroids				
1553	2'-deoxyadenosine	LC/MS Pos Early	2252	252.1091	Nucleotide	Purine Metabolism, Adenine containing	13730	16373-93-6	C00559	HMDB00101
46333	2'-deoxyadenosine 5'-monophosphate	LC/MS Pos Early	1284	332.0755	Nucleotide	Purine Metabolism, Adenine containing	12599	653-63-4	C00360	HMDB00905
15949	2'-deoxycytidine	LC/MS Pos Early	2193	228.0979	Nucleotide	Pyrimidine Metabolism, Cytidine containing	13711	951-77-9	C00881	HMDB00014
533	dCMP	LC/MS Pos Early	975	308.0642	Nucleotide	Pyrimidine Metabolism, Cytidine containing	13945	1032-65-1	C00239	HMDB01202
1411	2'-deoxyguanosine	LC/MS Neg	1700	266.0895	Nucleotide	Purine Metabolism, Guanine containing	187790	961-07-9	C00330	HMDB00085
15076	2'-deoxyinosine	LC/MS Neg	1688	251.0786	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	65058	890-38-0	C05512	HMDB00071
1412	2'-deoxyuridine	LC/MS Neg	1586	111.02	Nucleotide	Pyrimidine Metabolism, Uracil containing	13712	951-78-0	C00526	HMDB00012
57655	2'-O-methyluridine	LC/MS Neg	1831	257.0779	Nucleotide	Pyrimidine Metabolism, Uracil containing	102212	2140-76-3		
57547	2,3-dihydroxy-2-methylbutyrate	LC/MS Polar	1318	133.0506	Amino Acid	Leucine, Isoleucine and Valine Metabolism	301941	14868-24-7		HMDB29576
62805	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	LC/MS Neg	1156	177.0227	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism				
38276	2,3-dihydroxyisovalerate	LC/MS Polar	1050	133.0506	Xenobiotics	Food Component/Plant	677	1756-18-9	C04039	HMDB12141
20703	2,3-dimethylsuccinate	LC/MS Polar	2800	145.0506	Amino Acid	Leucine, Isoleucine and Valine Metabolism	11848	13545-04-5		
35892	2,4,6-trihydroxybenzoate	LC/MS Neg	1574	169.0142	Xenobiotics	Benzoate Metabolism	66520	83-30-7		HMDB29649
62951	2,4-dihydroxybutyrate	LC/MS Polar	1793	119.035	Lipid	Fatty Acid, Dihydroxy	192742	1518-62-3		HMDB00360
47113	2,4-dihydroxyhydrocinnamate	LC/MS Neg	1759	181.0506	Xenobiotics	Benzoate Metabolism	96384	5631-68-5		HMDB0126386
63042	2,6-dihydroxybenzoic acid	LC/MS Polar	729	153.0193	Xenobiotics	Drug - Topical Agents	9338	303-07-1		HMDB13676
42975	2,8-quinolinediol	LC/MS Pos Early	2514	162.055	Xenobiotics	Food Component/Plant	97250	15450-76-7	C06342	
48691	2,8-quinolinediol sulfate	LC/MS Neg	2612	239.9972	Xenobiotics	Food Component/Plant				
35632	2-(4-hydroxyphenyl)propionate	LC/MS Neg	1797.3	165.0557	Xenobiotics	Benzoate Metabolism	102526	938-96-5	C03080	HMDB41683
53232	2-acetamidobutanoate	LC/MS Polar	1340	144.0666	Xenobiotics	Bacterial/Fungal	306107			
48580	2-acetamidophenol sulfate	LC/MS Neg	2251	230.0129	Xenobiotics	Drug - Analgesics, Anesthetics	181671	40712-60-5		
6146	2-aminoadipate	LC/MS Polar	3500	160.0615	Amino Acid	Lysine Metabolism	469	542-32-5;1118-90-7	C00956	HMDB00510
43761	2-aminoheptanoate	LC/MS Pos Early	3160	146.1176	Lipid	Fatty Acid, Amino	227939	1115-90-8		
38109	2-aminophenol	LC/MS Pos Early	2644	110.06	Amino Acid	Tryptophan Metabolism	5801	95-55-6	C01987	
43266	2-aminophenol sulfate	LC/MS Neg	1677	188.0023	Xenobiotics	Chemical	181670			HMDB61116
36746	2-hydroxy-3-methylvalerate	LC/MS Neg	1800	131.0714	Amino Acid	Leucine, Isoleucine and Valine Metabolism	164623	488-15-3		HMDB00317
63739	2-hydroxy-4-(methylthio)butanoic acid	LC/MS Neg	1397	149.0278	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism		583-91-5		
33173	2-hydroxyacetaminophen sulfate*	LC/MS Neg	1674	246.0078	Xenobiotics	Drug - Analgesics, Anesthetics	86290013			
31934	2-hydroxyadipate	LC/MS Polar	3000	161.0455	Lipid	Fatty Acid, Dicarboxylate	193530	18294-85-4	C02360	HMDB00321
61700	2-hydroxyarachidate*	LC/MS Neg	5990	327.2905	Lipid	Fatty Acid, Monohydroxy	5225199			
57663	2-hydroxybehenate	LC/MS Neg	6384	355.3218	Lipid	Fatty Acid, Monohydroxy	193484			
52281	2-hydroxybutyrate/2-hydroxyisobutyrate	LC/MS Polar	1258	103.0401	Amino Acid	Glutathione Metabolism				
42489	2-hydroxydecanoate	LC/MS Neg	4840	187.134	Lipid	Fatty Acid, Monohydroxy	21488	5393-81-7		
52294	2-hydroxyglutarate	LC/MS Pos Early	958	166.071	Lipid	Fatty Acid, Dicarboxylate	43	40951-21-1	C02630	HMDB0059655
61699	2-hydroxylignocerate*	LC/MS Neg	6805	383.3531	Lipid	Fatty Acid, Monohydroxy	102430		C17873	HMDB39540
61698	2-hydroxynervonate*	LC/MS Neg	6345	381.3374	Lipid	Fatty Acid, Monohydroxy	5312783			
22036	2-hydroxyoctanoate	LC/MS Neg	3736.8	159.1027	Lipid	Fatty Acid, Monohydroxy	94180	617-73-2		HMDB02264
35675	2-hydroxypalmitate	LC/MS Neg	5511.2	271.2279	Lipid	Fatty Acid, Monohydroxy	92836	764-67-0		HMDB31057
63357	2-hydroxysebacate	LC/MS Neg	1324	217.1081	Lipid	Fatty Acid, Dicarboxylate	128458	103963-71-9		HMDB00424
17945	2-hydroxystearate	LC/MS Neg	5695	299.2592	Lipid	Fatty Acid, Monohydroxy	69417	629-22-1	C03045	
15667	2-isopropylmalate	LC/MS Polar	2605	175.0612	Xenobiotics	Food Component/Plant	77	3237-44-3	C02504	HMDB00402
48141	2-keto-3-deoxy-gluconate	LC/MS Polar	1900	177.0405	Xenobiotics	Food Component/Plant	161227	17510-99-5	C00204	HMDB01353
32506	2-linoleoylglycerol (18:2)	LC/MS Neg	6250	279.2329	Lipid	Monoacylglycerol	5365676	3443-82-1		HMDB11538
47031	2-methoxyacetaminophen sulfate*	LC/MS Neg	1949	260.0234	Xenobiotics	Drug - Analgesics, Anesthetics	86290014			
64049	2-methoxyhydroquinone sulfate (1)	LC/MS Neg	1505	218.9969	Xenobiotics	Benzoate Metabolism				
64050	2-methoxyhydroquinone sulfate (2)	LC/MS Neg	1619	218.9969	Xenobiotics	Benzoate Metabolism				
44580	2-methylbutyrylphenylalanine	LC/MS Neg	4025	248.1292	Xenobiotics	Benzoate Metabolism				
52282	2-methylcitrate/homocitrate	LC/MS Neg	575	205.0354	Energy	TCA Cycle				
35482	2-methylmalonylcarnitine (C4-DC)	LC/MS Pos Early	2440	262.1285	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	53481628	149181-64-6		HMDB13133
53229	2-methylserine	LC/MS Pos Early	1652	120.0655	Amino Acid	Glycine, Serine and Threonine Metabolism	94309		C02115	
63990	2-O-methylascorbic acid	LC/MS Polar	1512	189.0405	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	99779	17860-87-6		
21232	2-oleoylglycerol (18:1)	LC/MS Neg	6500	281.2486	Lipid	Monoacylglycerol	5319879	3443-84-3		HMDB11537
40479	2-oxindole-3-acetate	LC/MS Neg	2076	190.051	Xenobiotics	Food Component/Plant	3080590	2971-31-5		HMDB35514
55072	2-oxoarginine*	LC/MS Pos Early	1760	174.0873	Amino Acid	Urea cycle; Arginine and Proline Metabolism	558	3715-10-04 00:00:00	C03771	HMDB04225
62373	2-palmitoyl-galactosylglycerol (16:0)*	LC/MS Neg	6060	491.3226	Lipid	Galactosyl Glycerolipids				
35253	2-palmitoyl-GPC* (16:0)*	LC/MS Neg	6215	570.3413	Lipid	Lysophospholipid	15061532			HMDB61702
33419	2-palmitoylglycerol (16:0)	LC/MS Neg	6400	255.2329	Lipid	Monoacylglycerol	123409	23470-00-0		HMDB11533
43400	2-piperidinone	LC/MS Pos Early	1675	100.0757	Xenobiotics	Food Component/Plant	12665	675-20-7		HMDB11749
41220	2-stearoyl-GPE (18:0)*	LC/MS Neg	6350	480.3096	Lipid	Lysophospholipid				HMDB11129
27446	20-hydroxyecdysone	LC/MS Neg	4021	479.3014	Xenobiotics	Food Component/Plant	5459840	5289-74-7	C02633	HMDB30180
46115	21-hydroxypregnenolone disulfate	LC/MS Neg	3935	245.0671	Lipid	Pregnenolone Steroids	134595	1164-98-3		
63109	2R,3R-dihydroxybutyrate	LC/MS Polar	1543	119.035	Lipid	Fatty Acid, Dihydroxy	13120901	759-06-8		HMDB00498
62950	2S,3R-dihydroxybutyrate	LC/MS Polar	1660	119.035	Lipid	Fatty Acid, Dihydroxy	10964471	5057-93-2		HMDB02453
62952	3,4-dihydroxybutyrate	LC/MS Polar	2204	119.035	Lipid	Fatty Acid, Dihydroxy		51267-44-8		
18296	3,4-dihydroxyphenylacetate	LC/MS Neg	1040	123.0452	Amino Acid	Tyrosine Metabolism	547	102-32-9	C01161	HMDB01336
48736	3,4-dihydroxyphenylacetate sulfate	LC/MS Neg	800	246.9918	Amino Acid	Tyrosine Metabolism	193283	38339-04-7		
63342	3,5-dihydroxyphenylpropionate	LC/MS Polar	1420	181.0506	Xenobiotics	Benzoate Metabolism	161525	26539-01-5		
34399	3,7-dimethylurate	LC/MS Neg	1418	195.0524	Xenobiotics	Xanthine Metabolism	83126	13087-49-5	C16360	HMDB01982
35634	3-(2-hydroxyphenyl)propionate	LC/MS Neg	2530	165.0557	Xenobiotics	Benzoate Metabolism	873	495-78-3	C01198	HMDB33752
35635	3-(3-hydroxyphenyl)propionate	LC/MS Neg	1980	165.0557	Xenobiotics	Benzoate Metabolism	91	621-54-5	C11457	HMDB00375
45415	3-(3-hydroxyphenyl)propionate sulfate	LC/MS Neg	1294	245.0125	Xenobiotics	Benzoate Metabolism	187488	86321-32-6		
32197	3-(4-hydroxyphenyl)lactate (HPLA)	LC/MS Neg	1379	181.0506	Amino Acid	Tyrosine Metabolism	9378	6482-98-0	C03672	HMDB00755
39587	3-(4-hydroxyphenyl)propionate	LC/MS Neg	1670	165.0557	Xenobiotics	Benzoate Metabolism	10394	501-97-3	C01744	HMDB02199
62567	3-(methylthio)acetaminophen sulfate*	LC/MS Neg	2265	276.0006	Xenobiotics	Drug - Analgesics, Anesthetics				
45721	3-(N-acetyl-L-cystein-S-yl) acetaminophen	LC/MS Neg	2094	311.0707	Xenobiotics	Drug - Analgesics, Anesthetics	83967	52372-86-8		
62853	3-amino-2-piperidone	LC/MS Pos Early	2065	115.0866	Amino Acid	Urea cycle; Arginine and Proline Metabolism	5200225	1892-22-4		HMDB00323
1566	3-aminoisobutyrate	LC/MS Pos Early	2190	104.0706	Nucleotide	Pyrimidine Metabolism, Thymine containing	64956	10569-72-9;214139-20-5	C05145	HMDB03911
42973	3-butenylglucosinolate	LC/MS Neg	1588	372.0428	Xenobiotics	Food Component/Plant		19041-09-9		HMDB38427
61871	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	LC/MS Neg	4000	267.1238	Lipid	Fatty Acid, Dicarboxylate	194501			
31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	LC/MS Neg	2800	239.0925	Lipid	Fatty Acid, Dicarboxylate	123979	86879-39-2		HMDB61112
54723	3-carboxyadipate	LC/MS Neg	571	189.0405	Lipid	Fatty Acid, Dicarboxylate	222467	923-42-2		
64097	3-dehydrochenodeoxycholate	LC/MS Neg	5189	389.2697	Lipid	Secondary Bile Acid Metabolism		4185-00-6		
43835	3-dehydrocholate	LC/MS Neg	5050	405.2646	Lipid	Secondary Bile Acid Metabolism	159655	2304-89-4		HMDB00502
63119	3-dehydrodeoxycholate	LC/MS Neg	5235	389.2697	Lipid	Secondary Bile Acid Metabolism	160738	4185-01-07 00:00:00		HMDB62742
36764	3-dehydroshikimate	LC/MS Polar	1962	171.0299	Xenobiotics	Food Component/Plant	80	2922-42-1	C02637	
62863	3-formylindole	LC/MS Neg	3709	144.0455	Xenobiotics	Food Component/Plant	10256	487-89-8	C08493	HMDB29737
531	3-hydroxy-3-methylglutarate	LC/MS Polar	2850	161.0456	Lipid	Mevalonate Metabolism	1662	503-49-1	C03761	HMDB00355
62069	3-hydroxyadipate*	LC/MS Polar	3131	161.0455	Lipid	Fatty Acid, Dicarboxylate	151913			HMDB00345
542	3-hydroxybutyrate (BHBA)	LC/MS Polar	1480	103.0401	Lipid	Ketone Bodies	441	625-72-9	C01089	HMDB00357
62915	3-hydroxydodecanedioate*	LC/MS Neg	2252	245.1394	Lipid	Fatty Acid, Dicarboxylate	16663321	34574-69-1		HMDB00413
